#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        1.36000        19.84063        19.76073        19.60545        19.54325        19.59506        19.62970       -24.16549       -24.50613
        1.37000        19.84083        19.76037        19.60653        19.54063        19.59142        19.62675       -24.18240       -24.52304
        1.38000        19.84119        19.76008        19.60773        19.53817        19.58781        19.62389       -24.19909       -24.53974
        1.39000        19.84172        19.75984        19.60906        19.53587        19.58423        19.62112       -24.21558       -24.55622
        1.40000        19.84240        19.75967        19.61051        19.53372        19.58067        19.61847       -24.23185       -24.57249
        1.41000        19.84323        19.75955        19.61207        19.53174        19.57715        19.61592       -24.24791       -24.58855
        1.42000        19.84421        19.75950        19.61373        19.52994        19.57365        19.61350       -24.26377       -24.60441
        1.43000        19.84532        19.75951        19.61550        19.52831        19.57019        19.61119       -24.27942       -24.62006
        1.44000        19.84655        19.75959        19.61736        19.52687        19.56678        19.60899       -24.29487       -24.63551
        1.45000        19.84791        19.75973        19.61930        19.52562        19.56343        19.60689       -24.31012       -24.65076
        1.46000        19.84938        19.75995        19.62133        19.52455        19.56015        19.60487       -24.32517       -24.66581
        1.47000        19.85097        19.76025        19.62344        19.52367        19.55697        19.60291       -24.34002       -24.68066
        1.48000        19.85268        19.76061        19.62563        19.52297        19.55391        19.60100       -24.35468       -24.69532
        1.49000        19.85451        19.76105        19.62789        19.52245        19.55098        19.59917       -24.36915       -24.70979
        1.50000        19.85647        19.76156        19.63023        19.52210        19.54819        19.59737       -24.38342       -24.72406
        1.51000        19.85854        19.76214        19.63265        19.52191        19.54555        19.59563       -24.39751       -24.73815
        1.52000        19.86074        19.76280        19.63513        19.52189        19.54307        19.59394       -24.41141       -24.75205
        1.53000        19.86306        19.76353        19.63766        19.52202        19.54074        19.59231       -24.42512       -24.76576
        1.54000        19.86550        19.76434        19.64025        19.52231        19.53858        19.59073       -24.43865       -24.77929
        1.55000        19.86807        19.76522        19.64288        19.52276        19.53658        19.58921       -24.45200       -24.79264
        1.56000        19.87076        19.76616        19.64555        19.52338        19.53473        19.58773       -24.46517       -24.80581
        1.57000        19.87359        19.76719        19.64827        19.52416        19.53305        19.58630       -24.47816       -24.81880
